MD5,原文
24c633e17b0294df741d2cde05c50f1b,"Requires: Khrushchevs or no diplomatic relations with capitalists policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Trotskists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",要求：赫鲁晓夫主义或与资本主义国家无外交政策。国家元首制定法律或党制定法律或最高苏维埃制定法律。保守派和托洛茨基主义者在最高苏维埃中占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<50
2c1556c85f7736992a0d7ebf795debcb,"Requires: Khrushchevs or no diplomatic relations with capitalists policy and Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",要求：赫鲁晓夫主义或与资本主义国家无外交政策。国家元首制定法律或党制定法律或最高苏维埃制定法律。温和派和保守派在最高苏维埃中占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<50
621ed2937315e7fb6a4332bb881babda,"Requires: Khrushchevs or no diplomatic relations with capitalists policy and Head of state writes laws or Party writes laws or the SC writes laws, and Liberals and Trotskists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",要求：赫鲁晓夫主义或与资本主义国家无外交政策。国家元首制定法律或党制定法律或最高苏维埃制定法律。自由派和托洛茨基主义者在最高苏维埃中占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<50
8a36a72f45ddd2f286040e900c08a3d0,"Requires: No diplomatic relations or Khrushchevs policy and Head of state writes laws or Party writes laws or the SC writes laws, and Trotskists and Liberals are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",要求：无外交关系或赫鲁晓夫主义政策，国家元首制定法律或党制定法律或最高苏维埃制定法律。托洛茨基主义者和自由派在最高苏维埃中占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<50
63877f4e4408dca04a294b2e8ccfc07b,"Requires: No diplomatic relations,  Khrushchevs or Brezhnevs policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",要求：无外交关系或赫鲁晓夫主义或勃列日涅夫主义政策，国家元首制定法律或党制定法律或最高苏维埃制定法律，保守派和斯大林主义者在最高苏维埃中占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<50
e7bd624d548f1cb87aee0495bb134347,"Requires: Co-existence, Brezhnevs or Khrushchevs policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",要求：共存或勃列日涅夫主义或赫鲁晓夫主义政策，国家元首制定法律或党制定法律或最高苏维埃制定法律，保守派和斯大林主义者在最高苏维埃中占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<50
7ff6c054552e5c583b0da1a84946ad36,"Requires: Co-existence, Brezhnevs or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws and Moderate, Reformers are the majority in the SC, Moderate>Reformers or referendums are determining laws, republics loyalty is > 70, opposition force is < 50  ",要求：共存或勃列日涅夫主义或新思维政策，国家元首制定法律或党制定法律或最高苏维埃制定法律，温和派和改革派在最高苏维埃中占多数或温和派多于改革派或全民公投决定法律，共和国忠诚度>70，反对派力量<50
3bb5d53434ac772f40c1219f451fa66c,"Requires: No diplomatic relations with the capitalists or Khrushchevs policy and Head of state writes laws or Party writes laws and Conservatives and Trotskists are the majority or the SC writes laws and Conservatives and Trotskists are the majority, DEFCON<5 or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<3  ",要求：与资本主义国家无外交或赫鲁晓夫主义政策，国家元首制定法律或党制定法律，保守派和托洛茨基主义者在最高苏维埃中占多数；或最高苏维埃制定法律，保守派和托洛茨基主义者在最高苏维埃中占多数，战备等级<5或全民公投决定法律，共和国忠诚度>70，反对派力量<50，战备等级<3
051a35d68cd2d4b4500fa742edc2ac1b,"Requires: Brezhnevs, Khrushchevs or co-existence policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Stalinists are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",要求：勃列日涅夫主义或赫鲁晓夫主义或共存政策，国家元首制定法律或党制定法律或最高苏维埃制定法律，保守派和斯大林主义者在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<50
960f2fb612f0fefe6e7d368553b37eea,"Requires: Brezhnevs, co-existence or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Moderate are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",要求：勃列日涅夫主义或共存或新思维政策，国家元首制定法律或党制定法律或最高苏维埃制定法律，保守派和温和派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<50
5beb0e7199728b8c37979a563c8d1b50,"Requires: Khrushchevs or no diplomatic relations with capitalists policy and Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Trotskists are the majority in the SC and Conservatives<Trotskists or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<3  ",要求：赫鲁晓夫主义或与资本主义国家无外交政策，国家元首制定法律或党制定法律或最高苏维埃制定法律，保守派和托洛茨基主义者在最高苏维埃中占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<50，战备等级<3
0622b9097b4a59b6186aad84c8206fdc,"Requires: Republics loyalty>90, opposition power<25 and Stalinists and Trotskists are the majority in the SC  ",要求：共和国忠诚度>90，反对派力量<25，斯大林主义者和托洛茨基主义者在最高苏维埃占多数。
05bcb618f71b6a48099dc249b2b581f5,"Requires: Head of state writes laws or Party writes laws and Reformers and Liberals are banned and Reformers loyalty >5 and Conservatives loyalty > 50, or Party writes laws and Trotskists, Stalinists and Conservatives are the majority and opposition force < 30 or referendums are determining laws, republics loyalty > 70, opposition force < 30  ",要求：国家元首制定法律或党制定法律，改革派和自由派被禁止，改革派忠诚度>5，保守派忠诚度>50；或党制定法律，托洛茨基主义者，斯大林主义者和保守派占多数，反对力量<30；或公投决定法律，共和国忠诚度>70，反对力量<30
16488cc39610e892b352c8ac88dbddb8,"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Conservatives, Stalinists, Moderates are the majority or referendums are determining laws and republics loyalty >70, opposition power <30  ",要求：国家元首制定法律或党制定法律或最高苏维埃制定法律，保守派、斯大林主义者、温和派占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
f7ae21921f88a3e797529ebc5f4ba8ea,"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Moderate are the majority and Moderate<Reformers or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：国家元首制定法律或党制定法律或最高苏维埃制定法律，改革派和温和派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
099a650150aceff663112d35d420302f,"Requires: Soviet Republic, Peoples Democracy, Chinese Democracy or Fractional Democracy and head of state writes laws or Party writes laws or the SC writes laws and Moderate, Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：苏维埃共和国或人民民主或中式民主或有限民主，国家元首制定法律或党制定法律或最高苏维埃制定法律，温和派，斯大林主义者和保守派在最高苏维埃中占多数，斯大林主义者和保守派在最高苏维埃中占多数，或全民公投决定法律，共和国忠诚度>70，反对派力量<50
5fc37a4288fd8b40c97b7bc9d60ff410,"Requires: Peoples or Direct Democracy or Consensus democracy and head of state writes laws or Party writes laws or the SC writes laws and Moderate and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：人民民主或直接民主或共识民主，国家元首制定法律或党制定法律或最高苏维埃制定法律，温和派和改革派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
e6b5000ea3139dbf53f06ff42894895b,"(Requires: Soviet Republic, Peoples Democracy, Chinese Democracy or Fractional Democracy and head of state writes laws or Party writes laws or the SC writes laws and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",(要求：苏维埃共和国或人民民主或中式民主或有限民主，国家元首制定法律或党制定法律或最高苏维埃制定法律，温和派和保守派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
559ba5a58cbea3c97ae3a52bf1578b1c,"Requires: Soviet Republic, Peoples Democracy, Chinese Democracy or Fractional Democracy and head of state writes laws or Party writes laws or the SC writes laws and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：苏维埃共和国或人民民主或中式民主或有限民主，国家元首制定法律或党制定法律或最高苏维埃制定法律，温和派和保守派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
bd58d2a48f468d4335a95ff0dc35e901,"Requires: Peoples, Fractional, Direct or Consensus or Representative Democracy  ",要求：人民民主，有限民主，直接民主，共识民主或代议制民主
860a20a4dd2dc97ddbdf8fa71d719f33,"Requires:  Party elitarization, Soviet Republic, Peoples or Chinese Democracy and head of state writes laws or Party writes laws or the SC writes laws and Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：先锋党模式或苏维埃共和国或人民民主或中国民主，国家元首制定法律或党制定法律或最高苏维埃制定法律，斯大林主义者和保守派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
9da0b18a8814b8086450089725a98f9c,"Requires: Sovet Repblic or Peoples, Chinese or Representative Democracy and head of state writes laws or Party writes laws or the SC writes laws and Moderate and Coservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：苏维埃共和国或人民民主或中式民主或代议制民主，国家元首制定法律或党制定法律或最高苏维埃制定法律，温和派和保守派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
d5d3c72398a4b7b3901022143144b48f,"Requires: Republics loyalty is >95, Head of state writes laws or Party writes laws or the SC writes laws and Trotskists and Stalinists are the majority in the SC or referendums are determining laws, opposition force is <10  ",要求：共和国忠诚度>95，国家元首制定法律或党制定法律或最高苏维埃制定法律，托洛茨基主义者和斯大林主义者在最高苏维埃占多数或全民公投决定法律，反对派力量<10
3e0d2880dcc92ce9b5f42b42c6c66007,"Requires: Republics loyalty is >80, Head of state writes laws or Party writes laws or the SC writes laws and Trotskysts, Stalinists and Conservatives are the majority in the SC or referendums are determining laws, opposition force is <20  ",要求：共和国忠诚度>80，国家元首制定法律或党制定法律或最高苏维埃制定法律，托洛茨基主义者、斯大林主义者和保守派在最高苏维埃占多数或全民公投决定法律，反对派力量<20
9f9400f8170f0e4f850b34878d82a8f1,"(Requires: Republics loyalty is >70, Head of state writes laws or Party writes laws or the SC writes laws and Conservatives and Moderate are the majority in the SC or referendums are determining laws, opposition force is <30  ",(要求：共和国忠诚度>70，国家元首制定法律或党制定法律或最高苏维埃制定法律，保守派和温和派在最高苏维埃占多数或全民公投决定法律，反对派力量<30
ad2e0c89ea3986e0126fc052956febbc,"Requires: Republics loyalty is >50, Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Reformers are the majority in the SC or referendums are determining laws, opposition force is <30  ",要求：共和国忠诚度>50，国家元首制定法律或党制定法律或最高苏维埃制定法律，温和派和改革派在最高苏维埃占多数或全民公投决定法律，反对派力量<30
ff0b53c82b21b43fa64e199c168fe9f7,"Requires: Party elitarization, Soviet republic or Peoples Democracy, Head of state writes laws or Party writes laws or the SC writes laws, and Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：先锋党模式或苏维埃共和国或人民民主，国家元首制定法律或党制定法律或最高苏维埃制定法律，斯大林主义者和保守派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
b2131d1f945011508218f0c0bf8c9166,"Requires: Soveit Republic or Chinese, Peoples or Fractional Democracy, Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Moderate are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：苏维埃共和国或人民民主或中式民主或有限民主，国家元首制定法律或党制定法律或最高苏维埃制定法律，保守派和温和派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
a18c2a87c0bcab43a52e247cda200ff0,"Requires: Party elitarization, Soviet republic or Peoples or Chinese Democracy, Head of state writes laws or Party writes laws and Moderate and Stalinists are the majority or the SC writes laws, and Moderate and Stalinists are the majority in the SC and the arithmetic mean of Conservatives and Reformers Loyalty is>50 or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：先锋党模式或苏维埃共和国或人民民主或中式民主，国家元首制定法律或党制定法律，温和派和斯大林主义者在最高苏维埃占多数；或最高苏维埃制定法律，温和派和斯大林主义者在最高苏维埃占多数，保守派和改革派的忠诚度的算术平均数>50；或全民公投决定法律，共和国忠诚度>70，反对派力量<30
67dbf5b303d3cf7ef4cba399f30b4e27,"Requires: Soviet republic or Peoples, Direct or Consensus or Fractional Democracy type, Head of state writes laws or Party writes laws and Liberals and Reformers are the majority or the SC writes laws, and Liberals and Reformers are the majority in the SC and the arithmetic mean of Conservatives and Reformers Loyalty is>50 or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：苏维埃共和国或人民民主或直接民主或共识或有限民主，国家元首制定法律或党制定法律，自由派和改革派在最高苏维埃占多数；或苏维埃共和国或人民民主或直接民主或共识或有限民主类型，最高苏维埃制定法律，自由派和改革派在最高苏维埃占多数，保守派和改革派忠诚度的算术平均数>50；或全民公投决定法律，共和国忠诚度>70，反对派力量<30
0f09a5e7df63b5a567f5c8026357d5f3,"Requires: Party elitarization or Soviet republic, Peoples or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Trotskists, Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：先锋党模式或苏维埃共和国或人民民主或或中式民主，国家元首制定法律或党制定法律或最高苏维埃制定法律，托洛茨基主义者，斯大林主义者和保守派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
761bac56cdc33f6fa6accc1f914eea4c,"Requires: Party elitarization, Soviet republic, Peoples, Fractional or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：先锋党模式或苏维埃共和国或人民民主或有限民主或中式民主类型，国家元首制定法律或党制定法律或最高苏维埃制定法律，温和派和保守派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
43d29aab089444a6d3e770f24fbf9429,"Requires: Party elitarization, Soviet republic, Peoples, Fractional or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：先锋党模式或苏维埃共和国或人民民主或有限民主或中式民主类型，国家元首制定法律或党制定法律或最高苏维埃制定法律，温和派和改革派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
c136942d17882f231f0b95e5fb91bdfa,"Requires: Party elitarization, Soviet republic, Peoples or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：先锋党模式或苏维埃共和国或人民民主或中式民主类型，国家元首制定法律或党制定法律或最高苏维埃制定法律，斯大林主义者和保守派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
759888614d896428c06cad72099d5fc1,"Requires: Peoples, Fractional or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：人民民主或有限民主或中式民主类型，国家元首制定法律或党制定法律或最高苏维埃制定法律，温和派和保守派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
eb1507f870883993a5d5f69ff9962be0,"Requires: Party elitarization, Soviet republic, Peoples or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：先锋党模式或苏维埃共和国或人民民主或中式民主类型，国家元首制定法律或党制定法律或最高苏维埃制定法律，斯大林主义者和保守派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
38551adaeeb45cac4764edcf4f2be379,"Requires: Peoples, Representative or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：人民民主或代议制民主或中式民主类型，国家元首制定法律或党制定法律或最高苏维埃制定法律，温和派和保守派在最高苏维埃占多数或全民公投决定法律，共和国忠诚度>70，反对派力量<30
cc68e47aa0c80da35089a4a2d8a31a7b,"Requires: Soviet Republic, Peoples, Chinese or Representative Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Moderate are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",要求：苏维埃共和国或人民民主或中式民主或代议制民主，国家元首制定法律或党制定法律或最高苏维埃制定法律，保守派和温和派在最高苏维埃占多数或全民公投通过法律，共和国忠诚度>70，反对派力量<30
cd4eee347bfbac02d97f45b14d3c2902,"The confrontation of various factions of the CCP, including between the supporters of Xiaoping",包括邓小平的支持者在内的中国共产党各派系之间的对抗
a593c9f64d795bd125dcb1ba36c70053,"The struggle against unearned income was reinforced yesterday,control over the execution of which was transferred to the party apparatus. And while black-marketeers and illegal immigrants came under mass raids, petty traders and local artisans was also arrested and sent to labour works.(???  ,  . -  )",昨天，反对非劳动收入的斗争得到进一步加强，对非劳动收入的依法判决转为由党的机构负责。黑市商人和非法移民遭到大规模打击的同时，小商人和当地工匠也被逮捕并被送往劳动工厂。
518e177e7680fa5860afaf406670c18f,"One of the most quoted evaluations of Rust's flight aftermath for the Soviet military was given by the American national security specialist William Odom: After Rust's flight radical changes took place in the Soviet army which can be compared to the Stalin's purge of 1937. Almost whole administration of Ministry of defense was replaced. Positions were given to young officiers, who aren't only lack initiative, but are also not interested in politics",美国国家安全专家威廉·奥多姆对鲁斯特红场事件影响的评价被广泛引用：鲁斯特的飞行后，苏联军方发生了根本性的变化，这甚至可与斯大林1937年大清洗相提并论。几乎苏联的整个国防部被大换血。国防部的职位大多被年轻官员占据，但他们不仅缺乏主动性，还对政治不感兴趣。
4528972c56814483fa2497bb35ab969b,"One of the most quoted evaluations of Rust's flight aftermath for the Soviet military was given by the American national security specialist William Odom: After Rust's flight radical changes took place in the Soviet army which can be compared to the Stalin's purge of 1937. Almost whole administration of Ministry of defense was replaced. Positions were given to young officers, who aren't only taking initiative, but are also preparing army for the upcoming war.",美国国家安全专家威廉·奥多姆对鲁斯特红场事件影响的评价被广泛引用：鲁斯特的飞行后，苏联军方发生了根本性的变化，这甚至可与斯大林1937年大清洗相提并论。几乎苏联的整个国防部被大换血。国防部的职位大多被年轻官员占据，他们不仅热情高涨，而且积极为即将到来的战争做准备。
17230dae9a65026e7bca61aa8c05ba6a,Civil omputingtechnologies,民用计算技术
7ed8679be6cb4fa86742326c8017d48a,"GENOCIDE.Because of the dramatic reduction of the USSR's population, you were accused in the genocide of the soviet people and sentened to execution. New ruler promises to raise the number of population more than it was.",种族清洗.由于苏联人口急剧减少，你被指控对苏联民族进行种族灭绝，并判以死刑。新统治者承诺将增加人口数量。
22e7565f07dd510b760942d40fd218c4,Supported usVictor Argonov projectMama Russia  . .       
0abd88f707eed1b795a2b4666f88dbd2,Supported us   
6d5a695c4bfe36056cb8d7ee7e7c55d8,Supported us          
