MD5,原文,翻译
a18c2a87c0bcab43a52e247cda200ff0,"Requires: Party elitarization, Soviet republic or Peoples or Chinese Democracy, Head of state writes laws or Party writes laws and Moderate and Stalinists are the majority or the SC writes laws, and Moderate and Stalinists are the majority in the SC and the arithmetic mean of Conservatives and Reformers Loyalty is>50 or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
67dbf5b303d3cf7ef4cba399f30b4e27,"Requires: Soviet republic or Peoples, Direct or Consensus or Fractional Democracy type, Head of state writes laws or Party writes laws and Liberals and Reformers are the majority or the SC writes laws, and Liberals and Reformers are the majority in the SC and the arithmetic mean of Conservatives and Reformers Loyalty is>50 or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
0f09a5e7df63b5a567f5c8026357d5f3,"Requires: Party elitarization or Soviet republic, Peoples or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Trotskists, Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
761bac56cdc33f6fa6accc1f914eea4c,"Requires: Party elitarization, Soviet republic, Peoples, Fractional or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
43d29aab089444a6d3e770f24fbf9429,"Requires: Party elitarization, Soviet republic, Peoples, Fractional or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
c136942d17882f231f0b95e5fb91bdfa,"Requires: Party elitarization, Soviet republic, Peoples or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
759888614d896428c06cad72099d5fc1,"Requires: Peoples, Fractional or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
eb1507f870883993a5d5f69ff9962be0,"Requires: Party elitarization, Soviet republic, Peoples or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
38551adaeeb45cac4764edcf4f2be379,"Requires: Peoples, Representative or Chinese Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
cc68e47aa0c80da35089a4a2d8a31a7b,"Requires: Soviet Republic, Peoples, Chinese or Representative Democracy type, Head of state writes laws or Party writes laws or the SC writes laws, and Conservatives and Moderate are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <30  ",
cd4eee347bfbac02d97f45b14d3c2902,"The confrontation of various factions of the CCP, including between the supporters of Xiaoping",
a593c9f64d795bd125dcb1ba36c70053,"The struggle against unearned income was reinforced yesterday,control over the execution of which was transferred to the party apparatus. And while black-marketeers and illegal immigrants came under mass raids, petty traders and local artisans was also arrested and sent to labour works.(???  ,  . -  )",
518e177e7680fa5860afaf406670c18f,"One of the most quoted evaluations of Rust's flight aftermath for the Soviet military was given by the American national security specialist William Odom: After Rust's flight radical changes took place in the Soviet army which can be compared to the Stalin's purge of 1937. Almost whole administration of Ministry of defense was replaced. Positions were given to young officiers, who aren't only lack initiative, but are also not interested in politics",
4528972c56814483fa2497bb35ab969b,"One of the most quoted evaluations of Rust's flight aftermath for the Soviet military was given by the American national security specialist William Odom: After Rust's flight radical changes took place in the Soviet army which can be compared to the Stalin's purge of 1937. Almost whole administration of Ministry of defense was replaced. Positions were given to young officers, who aren't only taking initiative, but are also preparing army for the upcoming war.",
17230dae9a65026e7bca61aa8c05ba6a,Civil omputingtechnologies,
7ed8679be6cb4fa86742326c8017d48a,"GENOCIDE.Because of the dramatic reduction of the USSR's population, you were accused in the genocide of the soviet people and sentened to execution. New ruler promises to raise the number of population more than it was.",
22e7565f07dd510b760942d40fd218c4,Supported usVictor Argonov projectMama Russia  . .       ,
0abd88f707eed1b795a2b4666f88dbd2,Supported us   ,
6d5a695c4bfe36056cb8d7ee7e7c55d8,Supported us          ,
