键值,原文,翻译
Have a nice game!,Have a nice game!,
"Our Motherland need more production! Everyone must work, so we can defeat our enemy!","Our Motherland need more production! Everyone must work, so we can defeat our enemy!",
"Andropov's great plan! Shame for parasites, make them work!","Andropov's great plan! Shame for parasites, make them work!",
"Let the World know, that there is less hard labour in the Soviet Union! We should live, not work for days.","Let the World know, that there is less hard labour in the Soviet Union! We should live, not work for days.",
"Prices under control of the Party! Sausages for 46 kopeikas, ice cream for 48, isn't it beautiful\?","Prices under control of the Party! Sausages for 46 kopeikas, ice cream for 48, isn't it beautiful\?",
"Finally, prices are free! They are controlled by market, not government. It's great, right\?..","Finally, prices are free! They are controlled by market, not government. It's great, right\?..",
Sovet man should only use goods of his Motherland! We won't let foreign goods in our shops!,Sovet man should only use goods of his Motherland! We won't let foreign goods in our shops!,
Capitalistic goods won't reach our country! We accept goods only from socialistic countries!,Capitalistic goods won't reach our country! We accept goods only from socialistic countries!,
We won't allow destruction of our basic industry by foreign goods! We must control their import!,We won't allow destruction of our basic industry by foreign goods! We must control their import!,
Destroy trade barriers! Trade must be free!,Destroy trade barriers! Trade must be free!,
No dimploation with imperialists! They will pay for years of slavery of our comrades!,No dimploation with imperialists! They will pay for years of slavery of our comrades!,
We will terrify the West! We will act directly and without compromise! Let them fear us!,We will terrify the West! We will act directly and without compromise! Let them fear us!,
"We won't attack, but we won't retreat. Engines are turned on, tanks are ready!","We won't attack, but we won't retreat. Engines are turned on, tanks are ready!",
Let there be peace and friendship! In order to ensure stability in the World we must cooperate with the West.,Let there be peace and friendship! In order to ensure stability in the World we must cooperate with the West.,
It's time for integration of Soviet culture in world culture. Participation is more important than victory!,It's time for integration of Soviet culture in world culture. Participation is more important than victory!,
We will start a worldwide fire! It's time to raise workers against their masters!,We will start a worldwide fire! It's time to raise workers against their masters!,
It's time to take our place under the Sun. We will become a new Empire!,It's time to take our place under the Sun. We will become a new Empire!,
Who needs these conventions! We care only about our soldiers and we shouldn't care about our enemy's wellbeing.,Who needs these conventions! We care only about our soldiers and we shouldn't care about our enemy's wellbeing.,
No to bariers! Any citizen of Soviet Union should have a freedom of choice!,No to bariers! Any citizen of Soviet Union should have a freedom of choice!,
Election of a leader is a people's right!,Election of a leader is a people's right!,
"Even after officially declaring scientific atheism as a religion. some citizens still visit churches. We must fight with it, using the most radical methods!","Even after officially declaring scientific atheism as a religion. some citizens still visit churches. We must fight with it, using the most radical methods!",
Partial development of progressive thinking is not enough for our citizens. We are materialistic thinkers and we can confirm it anytime!,Partial development of progressive thinking is not enough for our citizens. We are materialistic thinkers and we can confirm it anytime!,
Our Leader is the Sun of our nation!,Our Leader is the Sun of our nation!,
"One country, one folk, one Leader!","One country, one folk, one Leader!",
Our leader is worthy to lead the way together with Lenin!,Our leader is worthy to lead the way together with Lenin!,
"We are citizens of a progressive state, so we must condemn these barbaric methods!","We are citizens of a progressive state, so we must condemn these barbaric methods!",
Every citizen of the USSR should know how to hold a gun and banish intervents from our Motherland!,Every citizen of the USSR should know how to hold a gun and banish intervents from our Motherland!,
There is no dicrimination in the USSR. Women must defend our country together with men!,There is no dicrimination in the USSR. Women must defend our country together with men!,
Only volunteers should fight for ideals of World Revolution!,Only volunteers should fight for ideals of World Revolution!,
Factories for workers! We won't tolerate bureaucracy!,Factories for workers! We won't tolerate bureaucracy!,
Power to the councils!,Power to the councils!,
Media must show only the truth. And the truth is that Leader and the Party make our life better!,Media must show only the truth. And the truth is that Leader and the Party make our life better!,
We can't allow counterrevolutionary propaganda in our media!,We can't allow counterrevolutionary propaganda in our media!,
Proletariat chooses what to read and what to write!,Proletariat chooses what to read and what to write!,
"State should control thoughts of creators, so they will only publish the art of good quality!","State should control thoughts of creators, so they will only publish the art of good quality!",
USSR is a country of freed working class and freedom is art without limits and borders!,USSR is a country of freed working class and freedom is art without limits and borders!,
There is no place for counterrevolutionaries in the USSR!,There is no place for counterrevolutionaries in the USSR!,
"Our court is the most humane in the world, because it's controlled by workers' state!","Our court is the most humane in the world, because it's controlled by workers' state!",
There is no place for barbaric punishments in the socialistic country. Life is priceless!,There is no place for barbaric punishments in the socialistic country. Life is priceless!,
We won't allow police brutality!,We won't allow police brutality!,
"Too fast of Yeltsin's political career and advocacy of his candidacy brought too much doubt, in consequence of which a comrade Yeltsin was appointed as an additional party oversight. 1st Secretary of Moscow must be clean in every way!","Too fast of Yeltsin's political career and advocacy of his candidacy brought too much doubt, in consequence of which a comrade Yeltsin was appointed as an additional party oversight. 1st Secretary of Moscow must be clean in every way!",
"The talks were held in a friendly note.The Soviet and American sides found a compromise and started to reduce a large number of missiles and weapons, raising the question of world peace.Peace has never been so close!","The talks were held in a friendly note.The Soviet and American sides found a compromise and started to reduce a large number of missiles and weapons, raising the question of world peace.Peace has never been so close!",
"In response to the draft of Americans our honourable Leader, said:'We are not born yesterday and will show the world that American SDI is nothing against increased in the near future us nuclear potential!'. The Western media called it the new Soviet threat.","In response to the draft of Americans our honourable Leader, said:'We are not born yesterday and will show the world that American SDI is nothing against increased in the near future us nuclear potential!'. The Western media called it the new Soviet threat.",
"'Can't compromise on principles!' published March 13, 1988 in the newspaper 'Sovetskaya Rossiya' letter to a teacher at the Leningrad technological Institute, Nina Andreeva, thanks to a few enterprising deputies came to one of the meetings of the Supreme Council.","'Can't compromise on principles!' published March 13, 1988 in the newspaper 'Sovetskaya Rossiya' letter to a teacher at the Leningrad technological Institute, Nina Andreeva, thanks to a few enterprising deputies came to one of the meetings of the Supreme Council.",
"With our significant aid -ammunition, advisors, volunteersand humanitarian aid, prosovietforces seized power in the country.Ura!.","With our significant aid -ammunition, advisors, volunteersand humanitarian aid, prosovietforces seized power in the country.Ura!.",
It's time to deepen our relationship!,It's time to deepen our relationship!,
"Army broke into the building,where the session was taking place.They fully controlled it, sodecisions that you neededwere made. Ave!","Army broke into the building,where the session was taking place.They fully controlled it, sodecisions that you neededwere made. Ave!",
"Army broke into the building,where the session was taking place.They fully controlled it, sodecisions that you neededwere made. Ave!","Army broke into the building,where the session was taking place.They fully controlled it, sodecisions that you neededwere made. Ave!",
You won by a landslide. Congratulations with another victory!,You won by a landslide. Congratulations with another victory!,
Soldiers arrived in time andquickly destroyed chinese forces. Magnificent victory! .,Soldiers arrived in time andquickly destroyed chinese forces. Magnificent victory! .,
"During the negotiations treaties ofnon-agression, limited number of armedforces near the borders andthe partition of territories were made.China abandoned territorial claims.This is our diplomatic victory!","During the negotiations treaties ofnon-agression, limited number of armedforces near the borders andthe partition of territories were made.China abandoned territorial claims.This is our diplomatic victory!",
"Our declaration of creation of the first lunar station shook the world. Photo of the Soviet flag on Moon damaged the authority of the USA government. During one of the press-conferences in the White house there were so much questions about the Soviet lunar base and the USA reaction, that the secretary had to retreat, leaving journalists without information. New stage of popularity of the space travel began in our Motherland. Conspiracy theorists are also very interested in it. They say, that we made a pact with alien civilizations, with which even Hitler had contacts, in order to create our station where we found old station of the Third Reich. Nonsense! Right\?...","Our declaration of creation of the first lunar station shook the world. Photo of the Soviet flag on Moon damaged the authority of the USA government. During one of the press-conferences in the White house there were so much questions about the Soviet lunar base and the USA reaction, that the secretary had to retreat, leaving journalists without information. New stage of popularity of the space travel began in our Motherland. Conspiracy theorists are also very interested in it. They say, that we made a pact with alien civilizations, with which even Hitler had contacts, in order to create our station where we found old station of the Third Reich. Nonsense! Right\?...",
"Chinese example showed usa stupidity of building socialismin a single country,Brezhnev's doctrine and focus on army.State's policies are being reorganised and opposition is being quickly and mercilessly eliminated.Soviet Union will be saved, despite all odds!","Chinese example showed usa stupidity of building socialismin a single country,Brezhnev's doctrine and focus on army.State's policies are being reorganised and opposition is being quickly and mercilessly eliminated.Soviet Union will be saved, despite all odds!",
"Chinese example showed us the importance of informatiion technologies and mass automatisation. Soviet apparatus gives support to the University of Cybernetics with a hope of fast and good result.Opposition is being quickly and mercilessly eliminated.Soviet Union will be saved, despite all odds!","Chinese example showed us the importance of informatiion technologies and mass automatisation. Soviet apparatus gives support to the University of Cybernetics with a hope of fast and good result.Opposition is being quickly and mercilessly eliminated.Soviet Union will be saved, despite all odds!",
"Chinese example showed usthe importance of saving and supporting the current system,without any departure from marxism-leninism.Opposition is being quickly and mercilessly eliminated.Soviet Union will be saved, despite all odds!","Chinese example showed usthe importance of saving and supporting the current system,without any departure from marxism-leninism.Opposition is being quickly and mercilessly eliminated.Soviet Union will be saved, despite all odds!",
Our forces managed to stop the capitalist coup in Iran! The government returned to its former course.,Our forces managed to stop the capitalist coup in Iran! The government returned to its former course.,
You made a wise decision! Creation of a free port in the Far East will increase investitions to this underdeveloped region. Huge investitions and a lot of people will let Vladiviostok to became a city-millionaire in the nearest future! Chinese and Japanese companies have already opened their branches in this city!,You made a wise decision! Creation of a free port in the Far East will increase investitions to this underdeveloped region. Huge investitions and a lot of people will let Vladiviostok to became a city-millionaire in the nearest future! Chinese and Japanese companies have already opened their branches in this city!,
"You made a wise decision! Creation of a free port in the Ukrainian SSR not only will erase unemployment and economical stagnation, but will also grant us a huge income! Odessa has a perspective to become a huge and rich city! A number of European companies have already opened their branches in this city!","You made a wise decision! Creation of a free port in the Ukrainian SSR not only will erase unemployment and economical stagnation, but will also grant us a huge income! Odessa has a perspective to become a huge and rich city! A number of European companies have already opened their branches in this city!",
"Soon, Tavrodi escaped with the money abroad. Fooled people accuse the government!","Soon, Tavrodi escaped with the money abroad. Fooled people accuse the government!",
"Comrade! For the sake of country's safety, security cameras are now installed in public places! Now all criminals will get what they deserve! However, medics say that people show signs of early paranoia epidimic.","Comrade! For the sake of country's safety, security cameras are now installed in public places! Now all criminals will get what they deserve! However, medics say that people show signs of early paranoia epidimic.",
% for joining the RSFSR. Crimean crisis is solved!,% for joining the RSFSR. Crimean crisis is solved!,
"Today a book 'Archipelago GULAG' was published in the USSR. It has already caused some dissonance. Despite the obvious contradictions in this book, Soviet readers, who are unprepared for the freedom of speech and who don't want to spend time in the archives, begin to believe in it. Of course, documentary book, printed in a state's tipography, can't lie!","Today a book 'Archipelago GULAG' was published in the USSR. It has already caused some dissonance. Despite the obvious contradictions in this book, Soviet readers, who are unprepared for the freedom of speech and who don't want to spend time in the archives, begin to believe in it. Of course, documentary book, printed in a state's tipography, can't lie!",
"Today is a holiday for all christian believers! The rebuilding of the Cathedral of Christ the Saviuor has begun. Cathedrals and churches are also being rebuilt in numerous cities and villages. Communists, supporters of a secular state and muslims are against government support of christianity.","Today is a holiday for all christian believers! The rebuilding of the Cathedral of Christ the Saviuor has begun. Cathedrals and churches are also being rebuilt in numerous cities and villages. Communists, supporters of a secular state and muslims are against government support of christianity.",
"Today is a great day for the entire Soviet Union! We continue the building of the Palace of soviets: 495 metres in height, 100 floors and a giant statue of Lenin, which shows us a path to the wonderful future! It is a great achievement of our country.","Today is a great day for the entire Soviet Union! We continue the building of the Palace of soviets: 495 metres in height, 100 floors and a giant statue of Lenin, which shows us a path to the wonderful future! It is a great achievement of our country.",
"Opposing Parties, who came to power earlier, finally united into a united Party and used everything in order to completely destroy ramnants of junta, liberalise and democratize all spheres of society, while also improving relations with North Korea. Thanks to our initiative, a conferention took place in Seol, during which both Koreas united into a Confederation and declared demilitarisation, uninvolvement in military and political alliances and solving problems collectively, while also remaining independent. It's our diplomatic victory!","Opposing Parties, who came to power earlier, finally united into a united Party and used everything in order to completely destroy ramnants of junta, liberalise and democratize all spheres of society, while also improving relations with North Korea. Thanks to our initiative, a conferention took place in Seol, during which both Koreas united into a Confederation and declared demilitarisation, uninvolvement in military and political alliances and solving problems collectively, while also remaining independent. It's our diplomatic victory!",
"Suggestion of dirty western spy was declined, and he was imprisoned!","Suggestion of dirty western spy was declined, and he was imprisoned!",
Our country has a large nuclear arsenal and will use it in case of agression against us!,Our country has a large nuclear arsenal and will use it in case of agression against us!,
"Poland government has retired. Despite of multiple strikes, Poland became a new part of soviet brotherhood!","Poland government has retired. Despite of multiple strikes, Poland became a new part of soviet brotherhood!",
"Egyptian government supports terrorists! It was discovered by American special services and our government agrees, that we need to continue antiterrorist campaign! Mubarak's government, under pressure from the world and UN sanctions, retired. Free elections took place.","Egyptian government supports terrorists! It was discovered by American special services and our government agrees, that we need to continue antiterrorist campaign! Mubarak's government, under pressure from the world and UN sanctions, retired. Free elections took place.",
"Dirty Egyptian terrorists decide to use force against the world, but their plans were foiled by us! Our brave forces entered Cairo to support local communists.","Dirty Egyptian terrorists decide to use force against the world, but their plans were foiled by us! Our brave forces entered Cairo to support local communists.",
"'Mr Yeltsin uses a lot of lies in his speeches, trying to strengthen his political power. He is powerhungry, and Soviet people must resist him and send him to the West, where he belongs!' - it was your speech, after which your supporters began protests against him and Yeltsin disappointed everyone even more.","'Mr Yeltsin uses a lot of lies in his speeches, trying to strengthen his political power. He is powerhungry, and Soviet people must resist him and send him to the West, where he belongs!' - it was your speech, after which your supporters began protests against him and Yeltsin disappointed everyone even more.",
"After Yeltsin's speech, supporters of reforms used his words as a slogan and are planning political and economical reforms. Glory to the permanent Rebuilding!","After Yeltsin's speech, supporters of reforms used his words as a slogan and are planning political and economical reforms. Glory to the permanent Rebuilding!",
"While multinational coalitional army was successfully freeing Kuwait, our forces attacked Iraq from the back, with the support of communist and shia rebels and also by betrayals inside BAAS. During our military operation Hussein's regime was overthrown by Communistic Party of Iraq. Kuwait is western and Iraq is ours!","While multinational coalitional army was successfully freeing Kuwait, our forces attacked Iraq from the back, with the support of communist and shia rebels and also by betrayals inside BAAS. During our military operation Hussein's regime was overthrown by Communistic Party of Iraq. Kuwait is western and Iraq is ours!",
'Planned economy is the only true economy that ensures stability and equality of all workers in our country!' - these are the current trends in Soviet propaganda.,'Planned economy is the only true economy that ensures stability and equality of all workers in our country!' - these are the current trends in Soviet propaganda.,
"Official Soviet propaganda said, that for 70 years Soviet people went the wrong way and now our country must correct it as soon as possible!","Official Soviet propaganda said, that for 70 years Soviet people went the wrong way and now our country must correct it as soon as possible!",
"Today the damn counterrevolutioners, who wanted to sell our people for a coin, got what they deserved! There will always be planned economy in our home, and their home is prison!","Today the damn counterrevolutioners, who wanted to sell our people for a coin, got what they deserved! There will always be planned economy in our home, and their home is prison!",
"A question asked by journalist helped GKChP activists to find a correct answer - \""Yes, it's a new 1964!\"". Claimed the correctness of the Perestroika's initiatives - way to a collective goverment, improvement of the soviet state machine and fighting dogmatism, they also said that Gorbachev broke these three principles, that his actions were connected with subjectivism, arbitrariness and voluntarism, many dramatic political and economic mistakes were made. And GKChP has gathered to correct them.","A question asked by journalist helped GKChP activists to find a correct answer - \""Yes, it's a new 1964!\"". Claimed the correctness of the Perestroika's initiatives - way to a collective goverment, improvement of the soviet state machine and fighting dogmatism, they also said that Gorbachev broke these three principles, that his actions were connected with subjectivism, arbitrariness and voluntarism, many dramatic political and economic mistakes were made. And GKChP has gathered to correct them.",
"We reunited ROC! Members of former American ROC gained high positions and the Church gained some freedom. The West supports these actions, relations with the USA are improved.\n","We reunited ROC! Members of former American ROC gained high positions and the Church gained some freedom. The West supports these actions, relations with the USA are improved.\n",
New animal breeds\nand new plant sorts will help to create even more healthy\nand delicious food. Let's advance achievements of Michurin!,New animal breeds\nand new plant sorts will help to create even more healthy\nand delicious food. Let's advance achievements of Michurin!,
"A treaty was signed in 1967, which bans expansion of nuclear arms in space... Nonsense! Our latest achievements show that the USSR is starting to get more nuclear power.","A treaty was signed in 1967, which bans expansion of nuclear arms in space... Nonsense! Our latest achievements show that the USSR is starting to get more nuclear power.",
"Americans were the first to land on the Moon, but we will make the first lunar station!","Americans were the first to land on the Moon, but we will make the first lunar station!",
"For many decades, no major steps have been made to further the conquest of space travel. We must change this! The Red flag shall fly over the Red Planet!","For many decades, no major steps have been made to further the conquest of space travel. We must change this! The Red flag shall fly over the Red Planet!",
The enemy is not sleeping! State defense must be equipped with the best technologies.,The enemy is not sleeping! State defense must be equipped with the best technologies.,
"Latest developmnents in the ECM field allow us to fully automatize economy of the USSR. Communism draws near, comrades!","Latest developmnents in the ECM field allow us to fully automatize economy of the USSR. Communism draws near, comrades!",
"Today is a great day, the day, when the whole world became the united Union of Soviet Socialist Republics.\nHOORAY! HOORAY! HOORAY!.","Today is a great day, the day, when the whole world became the united Union of Soviet Socialist Republics.\nHOORAY! HOORAY! HOORAY!.",
You were able to complete Gorbachev's purpose and build Perestroika! Bourgeois democracy and free market are now dominating throughout whole Soviet Union!,You were able to complete Gorbachev's purpose and build Perestroika! Bourgeois democracy and free market are now dominating throughout whole Soviet Union!,
"After deployment of navy in libyan aquatoria, blaming them in support of international terrorism and attacks on airports in Rome and Vienna, the americans have decided to make an airstrikes at Libyan strategic points! How will the Soviet Union respond\?","After deployment of navy in libyan aquatoria, blaming them in support of international terrorism and attacks on airports in Rome and Vienna, the americans have decided to make an airstrikes at Libyan strategic points! How will the Soviet Union respond\?",
"One of newspapers has posted an interview with Yeltsin, where he criticizes us in slow reforming, dogmatism and unprogressiveness! And this newspaper has big circulation...\n","One of newspapers has posted an interview with Yeltsin, where he criticizes us in slow reforming, dogmatism and unprogressiveness! And this newspaper has big circulation...\n",
The GDR leader is going to meet with the FRG leader first time since 1950. It's not our initiative!,The GDR leader is going to meet with the FRG leader first time since 1950. It's not our initiative!,
We can't get humiliated by Americans!,We can't get humiliated by Americans!,
"Your private advisor suggests to deal with our\ncompetitors, who tried to prevent our rise to power\nand will try to futher disturb our action,\nin order to strengthen their own position,\ndiscredit us and usurp our position.\nWe need to show our power,\nwe can't let them to succeed!","Your private advisor suggests to deal with our\ncompetitors, who tried to prevent our rise to power\nand will try to futher disturb our action,\nin order to strengthen their own position,\ndiscredit us and usurp our position.\nWe need to show our power,\nwe can't let them to succeed!",
We can't let them to get away with it!,We can't let them to get away with it!,
It's time for reforms: give all ways to cooperatives!,It's time for reforms: give all ways to cooperatives!,
"Comrade! Today one of previously popular and influential among people and state apparatus politicians, who was both criticized and praised, died. How will we react to this dreadful event\? And is it even bad... \n","Comrade! Today one of previously popular and influential among people and state apparatus politicians, who was both criticized and praised, died. How will we react to this dreadful event\? And is it even bad... \n",
Use nuclear weapons against enemy!,Use nuclear weapons against enemy!,
Use nuclear weapons against enemy!,Use nuclear weapons against enemy!,
We won't be let to use SS guidebooks!,We won't be let to use SS guidebooks!,
Nobody will let us to negotiate with basmachi!,Nobody will let us to negotiate with basmachi!,
Opposition won't take bribes!,Opposition won't take bribes!,
Opposition won't take bribes!,Opposition won't take bribes!,
Supreme Council is against giving up to rebels!,Supreme Council is against giving up to rebels!,
Ecologists are alarmed and\nagricultural workers are demanding changs too.\nWe are exploiting nature too much!,Ecologists are alarmed and\nagricultural workers are demanding changs too.\nWe are exploiting nature too much!,
Nobody will negotiate with revisionists!,Nobody will negotiate with revisionists!,
We odn't have right to negotiate with oligarchs!,We odn't have right to negotiate with oligarchs!,
We must make a move!,We must make a move!,
Congratulate China with their reforms!,Congratulate China with their reforms!,
We can't just sit and wait!,We can't just sit and wait!,
We can't just sit and wait!,We can't just sit and wait!,
Use nukes against the enemy!,Use nukes against the enemy!,
"Far and mysterious Red planet of our system has been a desert for a long time and has never seen a human... Until now. Comrade, I am proud to report, that our manned mission to Mars is a success! Sovet people on board of our interplanetary ship were the first ones to reach Mars! This path wasn't easy. we had to restore Feoktistov's HIS project, then send ship modules to the orbit, so it could be constructed by astronauts on the MIR space station. And of course we had to prepare the crew. Their deed will be remembered by world history and it could become more famous than Neil Armstrong's steps. Our astronauts took soil samples, filmed the chronicles of our martian victory and went for a walk in the desert. Arrival of our heroes is expected to be next year. Now, after our lunar nd martian victories, the USSR is the country, which won the space race.","Far and mysterious Red planet of our system has been a desert for a long time and has never seen a human... Until now. Comrade, I am proud to report, that our manned mission to Mars is a success! Sovet people on board of our interplanetary ship were the first ones to reach Mars! This path wasn't easy. we had to restore Feoktistov's HIS project, then send ship modules to the orbit, so it could be constructed by astronauts on the MIR space station. And of course we had to prepare the crew. Their deed will be remembered by world history and it could become more famous than Neil Armstrong's steps. Our astronauts took soil samples, filmed the chronicles of our martian victory and went for a walk in the desert. Arrival of our heroes is expected to be next year. Now, after our lunar nd martian victories, the USSR is the country, which won the space race.",
"Dear comrade General Secretary! Today is the great day for the USSR and the entire world. Our space program projects finally gave the results. And these results allowed humanity to make agreat advancement in conquest of space. Few hours ago it was reported, that the Soviet lunar crew successfully landed on the Moon and built the station \""Star-1\""! In order to do it we had to send 7 living modules, required tools and Soviet lunar rover \""Korolev 1.1\"". The team which consists of 5 members, leaded by the first men to enter the open space A.A.Leonov, send you a greeting and congratulations with another victory. Yuri Gagarin and Sergey Korolev would be proud of us! Our specialists say that the cureent team will spend 2 years on the Moon and then will be replaced with another one. Modernisation and expansion of Star-1 will take place, more astronauts will be able to live here. What hould we do with our breakthrough\?","Dear comrade General Secretary! Today is the great day for the USSR and the entire world. Our space program projects finally gave the results. And these results allowed humanity to make agreat advancement in conquest of space. Few hours ago it was reported, that the Soviet lunar crew successfully landed on the Moon and built the station \""Star-1\""! In order to do it we had to send 7 living modules, required tools and Soviet lunar rover \""Korolev 1.1\"". The team which consists of 5 members, leaded by the first men to enter the open space A.A.Leonov, send you a greeting and congratulations with another victory. Yuri Gagarin and Sergey Korolev would be proud of us! Our specialists say that the cureent team will spend 2 years on the Moon and then will be replaced with another one. Modernisation and expansion of Star-1 will take place, more astronauts will be able to live here. What hould we do with our breakthrough\?",
Let them fear us!,Let them fear us!,
