键值,原文,翻译
Required: power of kgb > 50 and loyal of kgb > 70 and loyal of army > 70,Required: power of kgb > 50 and loyal of kgb > 70 and loyal of army > 70,
"Required: subsidies, power of KGB > 80 and loyalty of KGB > 80","Required: subsidies, power of KGB > 80 and loyalty of KGB > 80",
"Required: Parochial ruler, quantity > 50, combatant > 70, soldiers' and generals' loyalty > 70","Required: Parochial ruler, quantity > 50, combatant > 70, soldiers' and generals' loyalty > 70",
"Required: subsidies, has military base, point > 70","Required: subsidies, has military base, point > 70",
"Required: liberals are the majority in the SC, no democracy, liberalism > 30","Required: liberals are the majority in the SC, no democracy, liberalism > 30",
"Required: conservatives/liberals are the majority, liberalism < 30 and has USSR base","Required: conservatives/liberals are the majority, liberalism < 30 and has USSR base",
"Required: ultra-lefts are the majority, liberalism < 30 and has USSR base","Required: ultra-lefts are the majority, liberalism < 30 and has USSR base",
"Required: moderates are the majority, liberalism < 50 and or has USSR base or is in Warsaw Pact","Required: moderates are the majority, liberalism < 50 and or has USSR base or is in Warsaw Pact",
"Required: USSR base, army combatant > 40, quantity > 40","Required: USSR base, army combatant > 40, quantity > 40",
"Required In the Comecon, liberalism < 50, loyalty > 70 or USSR base, not radicals","Required In the Comecon, liberalism < 50, loyalty > 70 or USSR base, not radicals",
"Required: USA is out of NATO, communism power > 50","Required: USA is out of NATO, communism power > 50",
"Required: country is not in NATO, communist regime, communism power > 70","Required: country is not in NATO, communist regime, communism power > 70",
"Required: USA is out of NATO, communism power > 40, ultra-lefts are the majority in the SC","Required: USA is out of NATO, communism power > 40, ultra-lefts are the majority in the SC",
"Required: ultra-lefts are not the majority in the SC, Defcon <5","Required: ultra-lefts are not the majority in the SC, Defcon <5",
"Required: not economy militarization, relations > 80, socialists, reserv - 400 and more","Required: not economy militarization, relations > 80, socialists, reserv - 400 and more",
"Required: Gaulists, Defcon < 3, relations with France > 80, has cooperation with France, no close relations with USA, WPO exists","Required: Gaulists, Defcon < 3, relations with France > 80, has cooperation with France, no close relations with USA, WPO exists",
"Required: not Trotsky's diplomacy, WPO exists, no friendship with the West, no pact with the USA, relations with France > 80, Gaulists","Required: not Trotsky's diplomacy, WPO exists, no friendship with the West, no pact with the USA, relations with France > 80, Gaulists",
"Required: possibility of interference, country is pro-soviet, reserv - 400 and more, dissatisfaction < 50, reserve > 400","Required: possibility of interference, country is pro-soviet, reserv - 400 and more, dissatisfaction < 50, reserve > 400",
"Required: colonialism and development < 70 or mutual aiding and dissatisfaction < 70, development > 70","Required: colonialism and development < 70 or mutual aiding and dissatisfaction < 70, development > 70",
"Required: Finland is in the soc. camp and not in the Comecon, Army quantity and combatant > 40","Required: Finland is in the soc. camp and not in the Comecon, Army quantity and combatant > 40",
"Required: Aid provided, industry power>8 (or USA have fallen), equal status/military organizations dissolution/European system","Required: Aid provided, industry power>8 (or USA have fallen), equal status/military organizations dissolution/European system",
"Required: Country is in the soc. camp and not in the Comecon, army quantity and combatant > 40","Required: Country is in the soc. camp and not in the Comecon, army quantity and combatant > 40",
"Required: united Korea, USA military power < 4","Required: united Korea, USA military power < 4",
"Required: Relations with China < 30, not ally with China, reformers aren't the majority in the SC","Required: Relations with China < 30, not ally with China, reformers aren't the majority in the SC",
"Required: country is pro-soviet and not in the Comecon, army quantity and combatant > 40","Required: country is pro-soviet and not in the Comecon, army quantity and combatant > 40",
"Required: country is pro-soviet and not in the Comecon, army quantity and combatant > 40","Required: country is pro-soviet and not in the Comecon, army quantity and combatant > 40",
"Required: arms were sold, army combatant and quantity > 70, India is pro-soviet","Required: arms were sold, army combatant and quantity > 70, India is pro-soviet",
"Required: combatant and quantity of army > 40, India is pro-soviet","Required: combatant and quantity of army > 40, India is pro-soviet",
"Required: USA have fallen, or Detente pact and relations > 30 and Defcon 5","Required: USA have fallen, or Detente pact and relations > 30 and Defcon 5",
"Required: quantity and combatant value of USSR army > 40, can be send once per a year","Required: quantity and combatant value of USSR army > 40, can be send once per a year",
"Required: Middle Asia in the USSR, army > 70 and reformers are not the majority in the SC","Required: Middle Asia in the USSR, army > 70 and reformers are not the majority in the SC",
"Required: PRC dissolved or USA have fallen, friendship pact, relations > 70, kgb power > 70 and reserv > 400","Required: PRC dissolved or USA have fallen, friendship pact, relations > 70, kgb power > 70 and reserv > 400",
"Required: relations > 70, reserv - 400 and more, not Trotsky's foreign policy","Required: relations > 70, reserv - 400 and more, not Trotsky's foreign policy",
"Required: relations > 70, no friendship pact, reserv - 400 and more, not Trotsky's foreign policy","Required: relations > 70, no friendship pact, reserv - 400 and more, not Trotsky's foreign policy",
"Required: year > 1986, relations > 80 (if USA have fallen then > 70), friendship pact, not trotskiysm and not unification in Comecon, not democracy here","Required: year > 1986, relations > 80 (if USA have fallen then > 70), friendship pact, not trotskiysm and not unification in Comecon, not democracy here",
"Required: year > 1987, relations > 90 (if USA have fallen then > 70), is in the Comecon, not trotskiysm and not unification in Comecon","Required: year > 1987, relations > 90 (if USA have fallen then > 70), is in the Comecon, not trotskiysm and not unification in Comecon",
"Required: not state-planned economy, relations > 40, reformers are the majority","Required: not state-planned economy, relations > 40, reformers are the majority",
"Required: year > 1988, China is pro-soviet or it is in the Comecon and WPO, relations > 95","Required: year > 1988, China is pro-soviet or it is in the Comecon and WPO, relations > 95",
Required: USSR army strength > country's army strength and USA have fallen,Required: USSR army strength > country's army strength and USA have fallen,
Required: USSR army strength > Iraq's army strength and USA have fallen,Required: USSR army strength > Iraq's army strength and USA have fallen,
Required: not in the Comecon and army's quantity and combatant > 40,Required: not in the Comecon and army's quantity and combatant > 40,
Required: USA have fallen or their army and economy < 40 when Syria and Iraq in SEV and foreign policy harsher than Coexistence.,Required: USA have fallen or their army and economy < 40 when Syria and Iraq in SEV and foreign policy harsher than Coexistence.,
"Required: money<4000, science points>99, reserve<450(liberals), 400(reformists), 350(moderates), 300(not stalinists/trotskyists).","Required: money<4000, science points>99, reserve<450(liberals), 400(reformists), 350(moderates), 300(not stalinists/trotskyists).",
"Required: army power of USA > 50 and moderate, reformists or liberals are the majority, Defcon 5","Required: army power of USA > 50 and moderate, reformists or liberals are the majority, Defcon 5",
"Requires: Head of state writes laws or Trotskists are the majority in the SC, Party writes laws and Conservatives loyalty is >70 or the SC writes laws and DEFCON<3 or referendums are determining the laws, republics loyalty is >70 and DEFCON<4  ","Requires: Head of state writes laws or Trotskists are the majority in the SC, Party writes laws and Conservatives loyalty is >70 or the SC writes laws and DEFCON<3 or referendums are determining the laws, republics loyalty is >70 and DEFCON<4  ",
"Requires: Head of state writes laws or Party writes laws, Trotskists and Stalinists are the majority in the SC and DEFCON<5 or the SC writes laws, Trotskisits, Stalinists and Conservatives are the majority in the SC and DEFCON<4 or republics loyalty is >70 and DEFCON<4  ","Requires: Head of state writes laws or Party writes laws, Trotskists and Stalinists are the majority in the SC and DEFCON<5 or the SC writes laws, Trotskisits, Stalinists and Conservatives are the majority in the SC and DEFCON<4 or republics loyalty is >70 and DEFCON<4  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws, Trotskists, Stalinists, Conservatives are the majority in the SC or referendums are determining the laws, republics loyalty is >70 and Opposition power is<50  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws, Trotskists, Stalinists, Conservatives are the majority in the SC or referendums are determining the laws, republics loyalty is >70 and Opposition power is<50  ",
"Requires: Head of state writes laws or Party writes laws, Moderate or Stalinists are the majority in the SC and Conservatives loyalty is >70 or the SC writes laws,  Moderate are the majority in the SC or referendums are determining the laws, republics loyalty is >70 and opposition force is <50  ","Requires: Head of state writes laws or Party writes laws, Moderate or Stalinists are the majority in the SC and Conservatives loyalty is >70 or the SC writes laws,  Moderate are the majority in the SC or referendums are determining the laws, republics loyalty is >70 and opposition force is <50  ",
"Requires: Head of state writes laws or Party writes laws, Trotskists and Reformers are the majority in the SC, Conservatives and Reformers loyalty is >40 or referendums are determining the laws, republics loyalty is >70 and opposition force is <50  ","Requires: Head of state writes laws or Party writes laws, Trotskists and Reformers are the majority in the SC, Conservatives and Reformers loyalty is >40 or referendums are determining the laws, republics loyalty is >70 and opposition force is <50  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Moderate are the majority in it or referendums are determining laws, republics loyalty is >70 and opposition force is <50  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Moderate are the majority in it or referendums are determining laws, republics loyalty is >70 and opposition force is <50  ",
"Requires:  Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority in it or referendums are determining laws, republics loyalty is >70 and opposition force is <50  ","Requires:  Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority in it or referendums are determining laws, republics loyalty is >70 and opposition force is <50  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority in it or referendums are determining laws, republics loyalty is >70 and opposition force is <50  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority in it or referendums are determining laws, republics loyalty is >70 and opposition force is <50  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Moderate are the majority in it or referendums are determining laws, republics loyalty is >70 and opposition force is <50  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Moderate are the majority in it or referendums are determining laws, republics loyalty is >70 and opposition force is <50  ",
"Requires: Militarized or absolutised economy and head of state writes laws and DEFCON<5 or Party/the SC writes laws and Trotskists and Conservatives are the majority and DEFCON<4 or referendums are determining laws, republics loyalty is >70, opposition force is <50 and DEFCON<3  ","Requires: Militarized or absolutised economy and head of state writes laws and DEFCON<5 or Party/the SC writes laws and Trotskists and Conservatives are the majority and DEFCON<4 or referendums are determining laws, republics loyalty is >70, opposition force is <50 and DEFCON<3  ",
"Requires: Militarized, absolutised or state-planned economy and head of state writes laws and DEFCON<5 or Party/the SC writes laws and Stalinists and Conservatives are the majority and DEFCON<4 or referendums are determining laws, republics loyalty is >70, opposition force is <50 and DEFCON<4  ","Requires: Militarized, absolutised or state-planned economy and head of state writes laws and DEFCON<5 or Party/the SC writes laws and Stalinists and Conservatives are the majority and DEFCON<4 or referendums are determining laws, republics loyalty is >70, opposition force is <50 and DEFCON<4  ",
"Requires: Not state-planned economy and head of state writes laws or Party writes laws or the SC writes laws and Reformers and Moderate are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Not state-planned economy and head of state writes laws or Party writes laws or the SC writes laws and Reformers and Moderate are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Economy is controlled higher than State-planned type and head of state writes laws or Party or the SC writes laws and Trotskists, Stalinists, Conservatives and Moderate are the majority and DEFCON<5 or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<4  ","Economy is controlled higher than State-planned type and head of state writes laws or Party or the SC writes laws and Trotskists, Stalinists, Conservatives and Moderate are the majority and DEFCON<5 or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<4  ",
"Economy is controlled higher than State-planned/State-planned with the self-management elements type and head of state writes laws or Party or the SC writes laws and Stalinists and Conservatives are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Economy is controlled higher than State-planned/State-planned with the self-management elements type and head of state writes laws or Party or the SC writes laws and Stalinists and Conservatives are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Economy is State-planned with market elements economy and head of state writes laws or Party or the SC writes laws and Moderate and Conservatives are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Economy is State-planned with market elements economy and head of state writes laws or Party or the SC writes laws and Moderate and Conservatives are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Economy with market elements and head of state writes laws or Party or the SC writes laws and Moderate and Reformers are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Economy with market elements and head of state writes laws or Party or the SC writes laws and Moderate and Reformers are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Uncontrolled or Controlled free market economy and head of state writes laws or Party or the SC writes laws and Liberals are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Uncontrolled or Controlled free market economy and head of state writes laws or Party or the SC writes laws and Liberals are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Economy is controlled higher than State-planned/State-planned with the self-management elements type and head of state writes laws or Party or the SC writes laws and Trotskists and Conservatives are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Economy is controlled higher than State-planned/State-planned with the self-management elements type and head of state writes laws or Party or the SC writes laws and Trotskists and Conservatives are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Economy is State-planned and head of state writes laws or Party or the SC writes laws and Stalinists and Conservatives are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Economy is State-planned and head of state writes laws or Party or the SC writes laws and Stalinists and Conservatives are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Economy is State-planned or State capitalism type and head of state writes laws or Party or the SC writes laws and Conservatives and Moderate are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Economy is State-planned or State capitalism type and head of state writes laws or Party or the SC writes laws and Conservatives and Moderate are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Economy with market elements and head of state writes laws or Party or the SC writes laws and Moderate and Reformers are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Economy with market elements and head of state writes laws or Party or the SC writes laws and Moderate and Reformers are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Uncontrolled or Controlled free market economy and head of state writes laws or Party or the SC writes laws and Reformers and Liberals are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Uncontrolled or Controlled free market economy and head of state writes laws or Party or the SC writes laws and Reformers and Liberals are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Head of state writes laws or Party writes laws and Trotskists and Conservatives are the majority or the SC writes laws and Trotskists and Conservatives are the majority, DEFCON<5, or referendums are determining laws, republics loyalty is >70, opposition force is <50 and DEFCON<4  ","Requires: Head of state writes laws or Party writes laws and Trotskists and Conservatives are the majority or the SC writes laws and Trotskists and Conservatives are the majority, DEFCON<5, or referendums are determining laws, republics loyalty is >70, opposition force is <50 and DEFCON<4  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Trotskists and Conservatives are the majority, or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<5  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Trotskists and Conservatives are the majority, or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<5  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Stalinists and Conservatives are the majority, or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Stalinists and Conservatives are the majority, or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Conservatives are the majority, or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Conservatives are the majority, or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority and Liberals<Reformers or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority and Liberals<Reformers or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Reformers are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Moderate and Reformers are the majority or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority and Liberals>Reformers or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Liberals are the majority and Liberals>Reformers or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: No diplomatic relations with capitalists policy and Head of state writes laws or Party writes laws and Trotskists and Conservatives are the majority or the SC writes laws, and Conservatives and Trotskists are the majority in the SC, DEFCON<5 or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<4  ","Requires: No diplomatic relations with capitalists policy and Head of state writes laws or Party writes laws and Trotskists and Conservatives are the majority or the SC writes laws, and Conservatives and Trotskists are the majority in the SC, DEFCON<5 or referendums are determining laws, republics loyalty is >70, opposition force is <50, DEFCON<4  ",
"Requires: From 2th to 4th diplomatic policy and Head of state writes laws or Party writes laws or the SC writes laws, and Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: From 2th to 4th diplomatic policy and Head of state writes laws or Party writes laws or the SC writes laws, and Stalinists and Conservatives are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Cooperation with the West or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws, and Liberals, Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Cooperation with the West or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws, and Liberals, Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Cooperation with the West or non-interference policy and Head of state writes laws or Party writes laws or the SC writes laws, and Liberals, Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Cooperation with the West or non-interference policy and Head of state writes laws or Party writes laws or the SC writes laws, and Liberals, Reformers are the majority in the SC or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Co-existence or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Reformers are the majority in the SC, Moderate>Reformers or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Co-existence or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws, and Moderate and Reformers are the majority in the SC, Moderate>Reformers or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Co-existence, cooperation with the West or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Moderate are the majority in the SC, Reformers>Moderate or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Co-existence, cooperation with the West or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws and Reformers and Moderate are the majority in the SC, Reformers>Moderate or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
"Requires: Cooperation with the West or non-interference policy and Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Moderate are the majority in the SC, Reformers>Moderate or referendums are determining laws, republics loyalty is > 70, opposition force is < 50  ","Requires: Cooperation with the West or non-interference policy and Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Moderate are the majority in the SC, Reformers>Moderate or referendums are determining laws, republics loyalty is > 70, opposition force is < 50  ",
"Requires: Co-existence, cooperation with the West or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Moderate are the majority in the SC, Reformers > Moderate or referendums are determining laws, republics loyalty is > 70, opposition force is < 50  ","Requires: Co-existence, cooperation with the West or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Moderate are the majority in the SC, Reformers > Moderate or referendums are determining laws, republics loyalty is > 70, opposition force is < 50  ",
"Requires: Cooperation with the West or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Liberals are the majority in the SC and Reformers > Liberals or referendums are determining laws, republics loyalty is >70, opposition force is <50  ","Requires: Cooperation with the West or new thinking policy and Head of state writes laws or Party writes laws or the SC writes laws, and Reformers and Liberals are the majority in the SC and Reformers > Liberals or referendums are determining laws, republics loyalty is >70, opposition force is <50  ",
